step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-med-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
65,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46395159128950036,0.0405937324113077,0.0018189663513896895,0.011289296340632655
66,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4640065218550385,0.0405937324113077,0.0018189663513896895,0.011289296340632655
67,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4640615147312259,0.0405937324113077,0.0018189663513896895,0.011289296340632655
68,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46411654363431454,0.0405937324113077,0.0018189663513896895,0.011289296340632655
69,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46417158373760947,0.0405937324113077,0.0018189663513896895,0.011289296340632655
70,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.464226611616871,0.0405937324113077,0.0018189663513896895,0.011289296340632655
71,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46428160519481443,0.0405937324113077,0.0018189663513896895,0.011289296340632655
72,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4643365436853177,0.0405937324113077,0.0018189663513896895,0.011289296340632655
73,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.4643914075378292,0.0405937324113077,0.0018189663513896895,0.011289296340632655
74,run_1746380570,2025-05-04 13:42:50,med-trust-med-accuracy-s1,"100","3","5","1","small_world","75","med-trust-med-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.186277109856105,5.044311560785182,4.87526126167619,0.46444617838237584,0.0405937324113077,0.0018189663513896895,0.011289296340632655
